UPZ_Id,UPZ_Name,Borough,Neighborhood,Borough_Id,Latitude,Longitude
1,Paseo de los Libertadores,Usaquén,"Canaima, La Floresta de La Sabana yTorca.",01,4.727730000000065,-74.06470999999993
9,Verbenal,Usaquén,"Altos de Serrezuela, Balcones de Vista Hermosa, Balmoral Norte, Buenavista, Chaparral, El Codito, El Refugio de San Antonio, El Verbenal, Horizontes, La Estrellita, La Frontera, La Llanurita, Los Consuelos, Marantá, Maturín, Medellín, Mirador del Norte, Nuevo Horizonte, San Antonio Norte, Santandersito, Tibabita, Viña del Mar.",01,4.75180000000006,-74.04314999999997
10,La Uribe,Usaquén,"Bosque de San Antonio, Conjunto Camino del Palmar, El Pite, El Redil, La Cita, La Granja Norte, La Uribe, Los Naranjos, San Juan Bosco, Urbanización Los Laureles.",01,4.739530000000059,-74.02238999999997
11,San Cristóbal Norte,Usaquén,"Ainsuca, Altablanca, Barrancas, California, Cerro Norte, Danubio, Don Bosco, La Perla Oriental, Las Areneras, Milán (Barrancas), Pradera Norte, San Cristóbal Norte, San Cristóbal Norte parte alta, San Cristóbal Norte parte baja, Santa Teresa, Soratama, Torcoroma, Villa Nydia, Villa Oliva.",01,4.743150000000071,-74.04197999999997
12,Toberín,Usaquén,"El Toberín, Babilonia, Darandelos, Estrella del Norte, Guanoa, Jardín Norte, La Liberia, La Pradera Norte, Las Orquídeas, Pantanito, Santa Mónica, Villa Magdala, Villas de Aranjuez, Villas del Mediterráneo, Zaragoza.",01,4.7252900000000295,-74.04783999999995
13,Los Cedros,Usaquén,"Acacias, Antigua, Belmira, Bosque de Pinos, Caobos Salazar, Capri, Cedritos, Cedro Bolívar, Cedro Golf, Cedro Madeira, Cedro Narváez, Cedro Salazar, El Contador, El Rincón de Las Margaritas, La Sonora, Las Margaritas, Lisboa, Los Cedros, Los Cedros Oriental, Montearroyo, Nueva Autopista, Nuevo Country, Sierras del Moral el Nogal.",01,4.692590000000052,-74.03008999999997
14,Usaquén,Usaquén,"Bella Suiza, Bellavista, Bosque Medina, El Pañuelito, El Pedregal, Escuela de Caballería I, Escuela de Infantería, Francisco Miranda, Ginebra, La Esperanza, La Glorieta, Las Delicias del Carmen, Sagrado Corazón, San Gabriel, Santa Ana, Santa Ana Occidental, Santa Bárbara, Santa Bárbara Alta, Santa Bárbara Oriental, Unicerros, Usaquén.",01,4.712740000000053,-74.04727999999994
15,Country Club,Usaquén,"Country Club, La Calleja, La Carolina, La Cristalina, Prados del Country, Recodo del Country, Santa Coloma, Soatama, Toledo, Torres del Country, Vergel del Country.",01,4.724340000000041,-74.11721999999997
16,Santa Bárbara,Usaquén,"Santa Bárbara Occidental, Campo Alegre, Molinos del Norte, Multicentro, Navarra, Rincón del Chicó, San Patricio, Santa Bárbara, Santa Bárbara Central, Santa Bibiana, Santa Paula.",01,4.691510000000051,-74.14860999999996
88,El Refugio,Chapinero,"Chicó Reservado, Bellavista, Chicó Alto, El Nogal, El Refugio, La Cabrera, Los Rosales, Seminario y Toscana.",02,4.666400000000067,-74.01896999999997
89,San Isidro-Patios,Chapinero,"La Esperanza Nororiental, La Sureña, San Isidro y San Luis Altos del Cabo.",02,4.635990000000049,-74.06147999999996
90,Pardo Rubio,Chapinero,"Bosque Calderón, Bosque Calderón Tejada, Chapinero Alto, El Castillo, El Paraíso, Emaus, Granada, Ingemar, Juan XXIII, La Salle, Las Acacias, Los Olivos, María Cristina, Mariscal Sucre, Nueva Granada, Palomar, Pardo Rubio, San Martín de Porres, Villa Anita y Villa del Cerro.",02,4.667660000000069,-74.05777999999998
97,Chicó Lago,Chapinero,"Antiguo Country, Chicó Norte, Chicó Norte II, Chicó Norte III, Chicó Occidental, El Chicó, El Retiro, Espartillal, La Cabrera, Lago Gaitán, Porciúncula y Quinta Camacho.",02,4.638480000000072,-74.06020999999998
99,Chapinero,Chapinero,"Cataluña, Chapinero Central, Chapinero Norte, Marly y Sucre",02,4.624680000000069,-74.06762999999995
91,Sagrado Corazón,Santa Fe,"La Merced, Parque Central Bavaria, Sagrado Corazón, San Diego, Samper y San Martín.",03,4.614350000000059,-74.06572999999997
92,La Macarena,Santa Fe,"Bosque Izquierdo, Germania, La Macarena, La Paz Centro y La Perseverancia.",03,4.607210000000066,-74.06943999999999
93,Las Nieves,Santa Fe,"La Alameda, La Capuchina, Veracruz, Las Nieves, San Victorino y Santa Inés.",03,4.588190000000054,-74.07981999999998
95,Las Cruces,Santa Fe,Las Cruces y San Bernardo.,03,4.588680000000068,-74.07397999999995
96,Lourdes,Santa Fe,"Atanasio Girardot, Cartagena, El Balcón, El Consuelo, El Dorado, El Guavio, El Mirador, El Rocío, El Triunfo, Fabrica de Loza, Gran Colombia, La Peña, Los Laches, Lourdes, Ramírez, San Dionisio, Santa Rosa de Lima y Vitelma.",03,4.567880000000059,-74.08391999999998
