Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Juan Valdez Café,4.728148103076192,-74.06475403422381,Café
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,WRIBS,4.726935136827934,-74.06490300055432,Sports Bar
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Hondashi,4.7279229164123535,-74.06498718261719,Asian Restaurant
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Sagal La Colina,4.726558791425292,-74.06154069035811,Steakhouse
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,El Corral Colina Campestre,4.726972161421687,-74.06481365766948,Burger Joint
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Cardamomo,4.7262093350389485,-74.06544233409844,Vegetarian / Vegan Restaurant
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Bodytech,4.7290800541001685,-74.06626569468094,Gym
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Beer Colina,4.726127156829171,-74.06523900450833,Bar
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Cinemark,4.731746084034323,-74.06659931157863,Movie Theater
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,H&M,4.731988720738129,-74.06675383903044,Clothing Store
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Presto,4.726024963070304,-74.06528228659758,Burger Joint
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Farmatodo,4.729691370267592,-74.06850909573552,Pharmacy
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,La Bifería,4.7318153,-74.067,Steakhouse
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Bogota Beer Company,4.729432,-74.068015,Pub
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Buffalo Wings,4.723066762493372,-74.06244771689249,Wings Joint
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Sierra Nevada Hamburguesas Y Malteadas,4.728098,-74.063782,Fast Food Restaurant
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Chopinar,4.729442842407843,-74.06839994706986,Fast Food Restaurant
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Centro Comercial Parque La Colina,4.732677623519119,-74.06630516052246,Shopping Mall
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Julia,4.732081,-74.067087,Pizza Place
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Madamia,4.726508339351509,-74.061062180334,Pastry Shop
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Sushisan,4.726450406789914,-74.06107667647312,Japanese Restaurant
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Wingz N Beer,4.723147498991978,-74.06648746205478,Wings Joint
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Falabella,4.733758516579118,-74.06627568405678,Department Store
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Comercial Papelera 134,4.727684952612595,-74.07044139524436,Paper / Office Supplies Store
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,La Chula,4.726420877820989,-74.06052673927691,Nightlife Spot
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Starbucks,4.733293247349711,-74.06631718621185,Coffee Shop
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Sandwich Qbano Colina,4.7270556466200215,-74.06253415205529,Sandwich Place
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,inBOX Boxing Club,4.727193121584802,-74.06247264583905,Gym
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,WOK,4.732777486416738,-74.06585064224905,Asian Restaurant
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Plazoleta De Comidas Parque Colina,4.73260201062596,-74.06629089346141,Food Court
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Crate & Barrel,4.733259067836629,-74.06647946800835,Furniture / Home Store
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Subway Colina Campestre,4.727285956261549,-74.06479676664088,Sandwich Place
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Palos De Moguer,4.729528120337373,-74.0685908579597,Bar
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Le Paste,4.727864646797889,-74.06385461384654,Italian Restaurant
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Carulla,4.726295541229403,-74.06013934573816,Supermarket
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,El Boleo,4.7318625,-74.06706,Salad Place
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Social,4.731974912775478,-74.06700751187478,Lounge
Paseo de los Libertadores,4.727730000000065,-74.06470999999993,Crepes & Waffles,4.722889806552676,-74.06244086923469,Creperie
