Cluster Labels,Borough,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
3,Antonio Nariño,Restaurant,Pizza Place,Bakery,Sandwich Place,Seafood Restaurant,Park,Convenience Store,Steakhouse,Donut Shop,Drugstore
1,Barrios Unidos,Fast Food Restaurant,Restaurant,BBQ Joint,Bakery,South American Restaurant,Burger Joint,Latin American Restaurant,Seafood Restaurant,Dessert Shop,Café
1,Bosa,Coffee Shop,Fast Food Restaurant,Pizza Place,Gym,BBQ Joint,Shopping Mall,Asian Restaurant,Seafood Restaurant,Bakery,Movie Theater
1,Chapinero,Restaurant,Bar,Italian Restaurant,Burger Joint,Fast Food Restaurant,Café,Bakery,Coffee Shop,French Restaurant,Latin American Restaurant
4,Ciudad Bolívar,Park,Department Store,Music Store,Bus Station,BBQ Joint,Mexican Restaurant,Electronics Store,Non-Profit,Furniture / Home Store,Supermarket
1,Engativá,Fast Food Restaurant,Bowling Alley,BBQ Joint,Pizza Place,Restaurant,Sandwich Place,Fried Chicken Joint,Burger Joint,Movie Theater,Department Store
1,Fontibón,Airport Lounge,Coffee Shop,Burger Joint,Café,Fast Food Restaurant,Bar,Restaurant,Sandwich Place,Italian Restaurant,Gym
1,Kennedy,Park,Pizza Place,BBQ Joint,Burger Joint,Coffee Shop,Department Store,Seafood Restaurant,Fast Food Restaurant,Latin American Restaurant,Ice Cream Shop
1,La Candelaria,Nightclub,Restaurant,Soccer Field,Gay Bar,Coffee Shop,Burger Joint,Bar,Gym,Department Store,Vegetarian / Vegan Restaurant
3,Mártires,Shopping Mall,Restaurant,Clothing Store,Seafood Restaurant,Sandwich Place,Department Store,Convenience Store,Pizza Place,Bowling Green,Skate Park
1,Puente Aranda,Café,Restaurant,Latin American Restaurant,History Museum,Burger Joint,Italian Restaurant,Bakery,Coffee Shop,Caribbean Restaurant,Mexican Restaurant
0,Rafael Uribe,Supermarket,Coffee Shop,Event Service,Food Truck,Business Service,Bakery,Neighborhood,Park,Massage Studio,Department Store
1,San Cristóbal,Fast Food Restaurant,Restaurant,Bar,Bakery,Seafood Restaurant,Mexican Restaurant,Sandwich Place,BBQ Joint,Gym / Fitness Center,Park
1,Santa Fe,Restaurant,Sandwich Place,Café,Burger Joint,Mexican Restaurant,Peruvian Restaurant,Deli / Bodega,Tapas Restaurant,Bakery,Hotel
1,Suba,Fast Food Restaurant,Burger Joint,Restaurant,Bakery,Gym,Coffee Shop,Park,Sandwich Place,Latin American Restaurant,Pizza Place
1,Teusaquillo,Restaurant,Hotel,Burger Joint,Pizza Place,Coffee Shop,Bakery,Seafood Restaurant,Ice Cream Shop,Park,Sandwich Place
2,Tunjuelito,Park,Movie Theater,Food Truck,Bus Station,Mexican Restaurant,Shopping Mall,Arepa Restaurant,Pet Store,Café,Event Space
1,Usaquén,Burger Joint,Pizza Place,Italian Restaurant,Gym,Coffee Shop,Steakhouse,Bar,Restaurant,Hotel,Latin American Restaurant
1,Usme,Café,Bakery,Department Store,Fast Food Restaurant,Restaurant,Mexican Restaurant,Bar,Pool,Shopping Mall,Pizza Place
